county,state,# total covid cases,# covid cases per 100k,# covid deaths,population,# covid deaths per 100k,case_fatality_rate
Loup County,Nebraska,87,13102.409638554216,0,663,0,0.0
Keya Paha County,Nebraska,118,14640.198511166254,0,805,0,0.0
Kalawao County,Hawaii,0,0.0,0,0,0,0.0
Skagway Municipality,Alaska,30,2535.9256128486895,0,1182,0,0.0
Jackson County,Colorado,166,11925.287356321838,0,1391,0,0.0
Daggett County,Utah,37,3894.7368421052633,0,949,0,0.0
Hinsdale County,Colorado,131,15975.60975609756,0,819,0,0.0
Wrangell City and Borough,Alaska,71,2837.729816147082,0,2501,0,0.0
Harlan County,Nebraska,378,11183.431952662722,0,3379,0,0.0
Lake and Peninsula Borough,Alaska,121,7600.502512562814,0,1591,0,0.0
Wayne County,Utah,443,16340.833640722982,0,2710,0,0.0
Wheeler County,Nebraska,127,16219.667943805875,0,782,0,0.0
Hoonah-Angoon Census Area,Alaska,0,0.0,0,0,0,0.0
Denali Borough,Alaska,353,16833.571769194088,0,2096,0,0.0
Sioux County,Nebraska,65,5574.614065180102,0,1165,0,0.0
Slope County,North Dakota,63,8400.0,0,749,0,0.0
Lancaster County,Nebraska,78065,24464.8845153405,0,319089,0,0.0
Hayes County,Nebraska,106,11496.746203904555,0,921,0,0.0
Dukes County,Massachusetts,3587,20695.822755596586,0,17331,0,0.0
Nantucket County,Massachusetts,3481,30537.76647074305,0,11398,0,0.0
San Juan County,Colorado,203,27884.615384615383,0,727,0,0.0
Banner County,Nebraska,89,11946.308724832215,0,744,0,0.0
Blaine County,Nebraska,67,14408.602150537636,0,464,0,0.0
King County,Texas,51,18750.0,0,271,0,0.0
Logan County,Nebraska,148,19786.096256684494,0,747,0,0.0
Aleutians East Borough,Alaska,608,18219.958046149237,0,3336,0,0.0
Alpine County,California,125,11071.744906997343,0,1128,0,0.0
Saline County,Nebraska,3796,26687.28908886389,2,14223,14,0.0005268703760044685
Nome Census Area,Alaska,6187,61845.2618952419,5,10003,49,0.0008081460997551947
Jefferson County,Nebraska,1211,17187.056485949477,1,7045,14,0.0008257637633555934
Pitkin County,Colorado,6676,37575.28001350819,7,17766,39,0.0010485320394168357
Lake County,Colorado,1843,22677.494770518028,2,8126,24,0.0010851871359095423
Kimball County,Nebraska,769,21172.907488986784,1,3631,27,0.001300389947933687
San Juan County,Washington,1450,8247.070867933113,2,17581,11,0.0013793102497027415
Summit County,Colorado,10087,32527.16777917513,14,31010,45,0.0013879250382876473
Teton County,Wyoming,10074,42933.85612001364,16,23463,68,0.0015882469566384063
Haines Borough,Alaska,616,24347.826086956524,1,2529,39,0.0016233763598415
Frontier County,Nebraska,543,20669.965740388274,1,2626,38,0.0018416202869944223
Summit County,Utah,13832,32820.02610036778,26,42144,61,0.0018796992345308037
Mono County,California,3002,20783.71642204375,6,14443,41,0.001998667488385493
Eagle County,Colorado,16274,29520.924410905725,35,55126,63,0.0021506697668018326
Hartley County,Texas,1364,24461.979913916788,3,5575,53,0.002199413328488759
North Slope Borough,Alaska,4075,41446.29780309194,9,9831,91,0.002208588902856714
Kauai County,Hawaii,12864,17794.253938832255,29,72292,40,0.002254353216306334
Essex County,Vermont,1301,21109.849099464547,3,6162,48,0.00230591834697015
Aleutians West Census Area,Alaska,865,15353.212637557685,2,5633,35,0.0023121384610244556
Sitka City and Borough,Alaska,2545,29965.85423289768,6,8492,70,0.0023575637580525045
Pawnee County,Nebraska,412,15767.317259854573,1,2612,38,0.0024271838768971173
Greeley County,Nebraska,410,17402.376910016977,1,2355,42,0.00243902379536005
Kodiak Island Borough,Alaska,4804,36959.53223572857,12,12997,92,0.002497918349335588
Garfield County,Nebraska,399,20264.093448450993,1,1968,50,0.002506265036023801
Grand County,Utah,2351,24102.932130408037,6,9753,61,0.002552105378472761
Cass County,Nebraska,6124,23331.301432490094,16,26247,60,0.0026126714139015116
Sarpy County,Nebraska,49702,26550.780999594008,131,187195,69,0.00263570881929156
Kusilvak Census Area,Alaska,1508,18138.080346403654,4,8313,48,0.002652519718002671
Valley County,Nebraska,752,18085.618085618087,2,4157,48,0.002659574114418336
Garden County,Nebraska,368,20032.661948829613,1,1836,54,0.0027173905659264768
Wabasha County,Minnesota,5795,26795.209691589218,16,21626,73,0.002761000815168234
York County,Nebraska,3920,28657.065574968932,11,13678,80,0.002806122377394837
Monroe County,Florida,18412,24804.655924987874,52,74227,70,0.002824245042231995
Northwest Arctic Borough,Alaska,4751,62340.90014433801,14,7620,183,0.0029467479910177227
Otoe County,Nebraska,3344,20884.336747439418,10,16011,62,0.0029904305325828186
Cache County,Utah,37240,29028.209745184697,112,128288,87,0.003007518788916437
Addison County,Vermont,5939,16148.679881447644,18,36776,48,0.003030813217194591
