county,state,# total covid cases,# covid cases per 100k,# covid deaths,population,# covid deaths per 100k,case_fatality_rate,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,cancer,voter_turnout,voter_gap,trump,biden
Loup County,Nebraska,87,13102.409638554216,0,663,0,0.0,0.0,0.4000000000000046,51.5828677839851,3.4,49132,6.2,14.4,33.0,30.7,1.3,,-4.849884526558892,65.0,81.5,16.5
Keya Paha County,Nebraska,118,14640.198511166254,0,805,0,0.0,1.1,2.2000000000000046,48.888888888888886,2.2,41138,8.0,15.8,30.2,29.6,7.9,256.3,8.0,80.7,90.0,9.3
Jackson County,Colorado,166,11925.287356321838,0,1391,0,0.0,24.4,25.1,50.72886297376093,3.7,45073,15.5,17.5,20.5,21.4,0.9,207.1,12.874251497005988,58.10000000000001,77.9,19.8
Daggett County,Utah,37,3894.7368421052633,0,949,0,0.0,3.3,5.100000000000003,39.45868945868946,4.6,53006,12.4,19.3,20.3,26.1,14.5,185.3,-9.461966604823749,62.400000000000006,80.2,17.8
Hinsdale County,Colorado,131,15975.60975609756,0,819,0,0.0,6.0,9.1,53.170731707317074,3.0,51241,5.1,41.3,14.8,20.5,0.8,,5.952380952380952,15.6,55.900000000000006,40.3
Harlan County,Nebraska,378,11183.431952662722,0,3379,0,0.0,3.7,5.800000000000007,47.794753531277024,2.2,46744,9.3,14.5,26.7,32.1,16.8,204.0,28.086534875046627,69.2,83.8,14.6
Lake and Peninsula Borough,Alaska,121,7600.502512562814,0,1591,0,0.0,1.5,78.2,49.19292851652575,12.7,45570,14.9,13.7,24.0,31.9,0.1,,,,,
Wayne County,Utah,443,16340.833640722982,0,2710,0,0.0,5.4,8.200000000000003,48.03703703703704,8.9,42366,5.7,26.5,21.0,22.8,56.9,153.8,15.911485774499472,52.89999999999999,75.6,22.7
Wheeler County,Nebraska,127,16219.667943805875,0,782,0,0.0,0.7,1.0999999999999912,47.5177304964539,2.5,45400,6.2,18.6,29.1,28.1,6.6,316.6,26.82215743440233,75.5,87.3,11.8
Denali Borough,Alaska,353,16833.571769194088,0,2096,0,0.0,0.7,17.299999999999994,49.28354320451585,8.7,69692,9.1,29.5,15.6,27.0,0.1,,,,,
Sioux County,Nebraska,65,5574.614065180102,0,1165,0,0.0,3.8,9.999999999999991,48.48726114649681,2.5,47313,9.0,25.1,27.6,32.3,5.6,307.2,26.95390781563126,78.19999999999999,88.1,9.9
Slope County,North Dakota,63,8400.0,0,749,0,0.0,0.6,7.59999999999999,48.07121661721068,2.6,55664,13.4,23.6,26.0,26.9,3.8,137.4,19.12878787878788,78.7,89.0,10.3
Lancaster County,Nebraska,78065,24464.8845153405,0,319089,0,0.0,6.7,17.900000000000006,49.80104910284407,2.6,52011,6.6,36.2,17.2,26.0,7.9,296.8,31.466526347708594,-7.900000000000006,44.9,52.8
Hayes County,Nebraska,106,11496.746203904555,0,921,0,0.0,5.9,6.200000000000006,48.380355276907,2.4,48856,11.8,19.0,28.3,33.2,6.2,361.1,28.129205921938087,86.1,92.5,6.4
Dukes County,Massachusetts,3587,20695.822755596586,0,17331,0,0.0,1.6,13.0,52.05788712011577,6.9,61259,6.6,41.2,17.7,22.0,991.3,209.3,,,,
Nantucket County,Massachusetts,3481,30537.76647074305,0,11398,0,0.0,8.6,26.200000000000003,46.81085043988269,5.5,82596,5.7,45.7,16.5,20.0,1837.9,177.9,5.1721897335932425,-45.5,26.200000000000003,71.7
San Juan County,Colorado,203,27884.615384615383,0,727,0,0.0,13.4,13.900000000000013,47.10017574692443,4.1,40006,5.6,27.1,15.9,19.3,1.8,,-18.526315789473685,-24.8,35.9,60.7
Banner County,Nebraska,89,11946.308724832215,0,744,0,0.0,7.8,10.6,51.098901098901095,3.4,48990,7.6,13.6,29.7,33.5,0.6,,25.992779783393495,77.8,88.3,10.5
Blaine County,Nebraska,67,14408.602150537636,0,464,0,0.0,0.0,2.000000000000004,49.00398406374502,4.4,38228,1.3,15.7,25.4,29.1,0.9,,19.94949494949495,77.3,88.3,11.0
King County,Texas,51,18750.0,0,271,0,0.0,26.6,26.59999999999999,48.09688581314879,3.2,64203,19.1,22.4,23.5,27.5,3.7,307.6,13.586956521739127,90.0,95.0,5.0
Logan County,Nebraska,148,19786.096256684494,0,747,0,0.0,2.9,6.099999999999997,48.74863982589772,2.8,50761,8.1,20.4,28.4,31.1,14.2,216.6,30.124223602484477,82.0,90.4,8.4
Aleutians East Borough,Alaska,608,18219.958046149237,0,3336,0,0.0,9.7,84.5,38.61593768723787,3.2,55462,20.5,12.6,26.9,33.4,0.4,,,,,
Alpine County,California,125,11071.744906997343,0,1128,0,0.0,9.7,35.40000000000001,44.80465502909393,7.9,53003,8.6,30.5,18.6,23.4,1.6,,21.36752136752137,-31.999999999999996,32.300000000000004,64.3
